,Class,Count,Category,#HP,AvgOptionsUsed,Most Used HP
202,PredictOutput,4,estimator,1,1.0,outputs
301,NodeDef,4,compat,0,0.0,default
271,ConvLSTM2D,4,keras,27,6.0,"filters, kernel_size"
270,Conv3DTranspose,4,keras,17,4.0,"filters, kernel_size, padding, strides"
92,Tokenizer,4,keras,8,1.0,"num_words, oov_token, default"
100,Multiply,4,keras,1,0.5,"name, default"
188,PaddingFIFOQueue,4,queue,6,3.5,"capacity, dtypes, shapes"
144,Beta,3,compat,5,2.0,"concentration1, concentration0"
264,StepCounterHook,3,estimator,4,2.33,"output_dir, every_n_steps"
236,Event,3,compat,0,2.33,wall_time
269,SummarySaverHook,3,estimator,6,3.0,save_steps
277,VGG19,3,keras,7,2.0,weights
265,Nadam,3,keras,6,0.0,default
238,SparseTensorValue,3,compat,3,3.0,"indices, values, dense_shape"
285,LogicalDeviceConfiguration,3,config,2,0.33,default
278,RNN,3,keras,8,2.33,"cell, return_sequences"
259,Adagrad,3,keras,5,1.67,"learning_rate, initial_accumulator_value"
256,Orthogonal,3,compat,3,0.0,default
284,Policy,3,keras,1,1.0,name
245,SessionLog,3,compat,0,1.33,status
229,Normalization,3,keras,4,0.33,default
230,CSVLogger,3,keras,3,1.67,filename
26,Options,3,data,0,0.0,default
289,Server,3,distribute,6,3.33,"server_or_cluster_def, job_name, task_index"
138,Cropping3D,3,keras,3,1.0,cropping
190,Sum,3,keras,2,0.67,default
296,ParameterServerStrategy,3,distribute,2,0.0,default
203,LatestExporter,3,estimator,5,3.33,"name, serving_input_receiver_fn, exports_to_keep"
171,BinaryAccuracy,3,keras,3,0.0,default
104,ReduceLROnPlateau,3,keras,9,6.67,"monitor, factor, patience, min_lr"
186,DepthwiseConv2D,3,keras,16,5.0,"kernel_size, strides, padding"
108,Uniform,3,compat,5,2.0,"low, high"
181,CosineDecay,3,keras,4,2.0,"initial_learning_rate, decay_steps"
224,KLDivergence,3,keras,2,0.0,default
162,TextLineReader,3,compat,2,0.0,default
276,InceptionV3,2,keras,7,2.5,include_top
109,DeviceWrapper,2,compat,3,2.0,"cell, device"
283,SeparableConv1D,2,keras,20,5.5,"filters, kernel_size, padding, name"
110,Rename,2,compat,3,3.0,"oldname, newname, overwrite"
187,WholeFileReader,2,compat,1,0.0,default
279,Average,2,keras,1,0.0,default
180,ResNet50V2,2,keras,7,4.0,"weights, include_top, pooling, input_shape"
261,Adadelta,2,keras,5,1.0,lr
272,CuDNNLSTM,2,compat,17,3.0,"units, return_sequences, name"
260,LambdaCallback,2,keras,7,1.0,on_epoch_end
254,Ones,2,compat,1,0.0,default
275,CallbackList,2,keras,5,4.5,"callbacks, model"
243,History,2,keras,0,0.0,default
239,LinearOperatorFullMatrix,2,linalg,6,5.0,"matrix, is_non_singular, is_self_adjoint, is_positive_definite, is_square"
232,ResourceApplyGradientDescent,2,raw_ops,5,4.0,"var, alpha, delta, use_locking"
234,DEFINE_multi_string,2,compat,6,3.0,"name, default, help"
223,ProfileOptionBuilder,2,compat,1,0.0,default
217,Huber,2,keras,3,1.5,"reduction, delta, name"
145,Operation,2,tensorflow,8,6.0,"node_def, g, inputs, original_op"
295,DenseFeatures,2,keras,4,1.0,feature_columns
143,TerminateOnNaN,2,keras,0,0.0,default
